OCR Text,Ground Truth,Model Prediction,CER
"He called the preacher a liar, and said he vas the son of the devil.","He called the preacher a liar, and said he was the son of the devil.",Fix OCR errors in the following text:,0.7647058823529411
The unfortunate crea- tures sacrificed wore (excepting the servant girl) between seventy and eighty years of age.,The unfortunate creatures sacrificed were (excepting the servant girl) between seventy and eighty years of age.,Fix OCR errors in the following text:,0.8108108108108109
The prisoner' was new charged with perjuring herself.h,The prisoner was now charged with perjuring herself.,Fix OCR errors in the following text:,0.7307692307692307
"Whea the prisoner thought c -he had given him his quietus he h, ard the pliasnor I to go into the kitchen to the water-Lap and- drink some d wey ,water.",When the prisoner thought he had given him his quietus he heard the prisoner go into the kitchen to the water-tap and drink some water.,Fix OCR errors in the following text:,0.8222222222222222
On the night of the 16th inst. Police-constable Grahom found Wilkinson turning his wife oat of doors.,On the night of the 16th inst. Police-constable Graham found Wilkinson turning his wife out of doors.,Fix OCR errors in the following text:,0.7920792079207921
"-Mr. Woolrch said as repreren'ted It was a case of great hardship and grievance, but it seamned to himn to ha the subjeet 0 an action for another court-it was a mistake.","-Mr. Woolrych said as represented it was a case of great hardship and grievance, but it seemed to him to be the subject of an action for another court-it was a mistake.",Fix OCR errors in the following text:,0.8571428571428571
"The miseinggirl is entibled, under her grmudfathees-vwili, to property worth �2iC0, besides �.200 ready zanoney 'in the WolIwich Equitable Buil&mng Soety.","The missing girl is entitled, under her grandfather's will, to property worth £2,000, besides £200 ready money in the Woolwich Equitable Building Society.",Fix OCR errors in the following text:,0.8311688311688312
"Mrs. Sarah Rutherford said: I reside at 24, Eagle- court, John's-lane.","Mrs. Sarah Rutherford said: I reside at 24, Eagle-court, John's-lane.",Fix OCR errors in the following text:,0.7681159420289855
StaftordbShrs Nursery Haudicap.,Staffordshire Nursery Handicap.,Fix OCR errors in the following text:,1.0
THE. OTHER CONVICTS UNDER SENTENCE OF DEATH.,THE OTHER CONVICTS UNDER SENTENCE OF DEATH.,Fix OCR errors in the following text:,0.7674418604651163
"Nothing, however, transpired to jus.Piy any proceedings being taten upon this charge, and the sergeant alid the two courstables were commritted: to take thoir trials at tire Chelmsford assizes upon a charge of soilful and corrunt perjury, and they were eventnually convioted of that offenee, and sentenced to seven years' traaspsrtatiou.","Nothing, however, transpired to justify any proceedings being taken upon this charge, and the sergeant and the two constables were committed to take their trials at the Chelmsford assizes upon a charge of wilful and corrupt perjury, and they were eventually convicted of that offence, and sentenced to seven years' transportation.",Fix OCR errors in the following text:,0.906060606060606
"Witness handed 2s. C-i. to the prisoner, but failed to find the card.","Witness handed 2s. 6d. to the prisoner, but failed to find the card.",Fix OCR errors in the following text:,0.75
Hemaintainedasulenademeanouir.,He maintained a sullen demeanour.,Fix OCR errors in the following text:,1.0
CAnDIFF PIES.,CARDIFF PIES.,Fix OCR errors in the following text:,2.3846153846153846
"He used also often to speak in a very strange, wild manner, but people only laughed at him.","He used also often to speak in a very strange, wild manner, but people only laughed at him.",Fix OCR errors in the following text:,0.8021978021978022
"Mr. Groves, from the solicitors' depart- 10 ment of the company, said there had been a perfect o epidemic of stone-throwing lately, and in London alone tJ the company had had eight cases of personal injury I during the last month.","Mr. Groves, from the solicitors' department of the company, said there had been a perfect epidemic of stone-throwing lately, and in London alone the company had had eight cases of personal injury during the last month.",Fix OCR errors in the following text:,0.8669724770642202
"it_.._;___ :_;_ . . 'SurCI:) OF A CTILD,",SUICIDE OF A CHILD.,Fix OCR errors in the following text:,1.5789473684210527
"Tie smelb the'bottle, which was empty, and it o app sared to him that it had. contained laudanum.","He smelt the bottle, which was empty, and it appeared to him that it had contained laudanum.",Fix OCR errors in the following text:,0.8260869565217391
"Mr. Ansell still followed, and saw the Drisoner holding open the lid of the box, and the other man filling his pockets with the watches.","Mr. Ansell still followed, and saw the prisoner holding open the lid of the box, and the other man filling his pockets with the watches.",Fix OCR errors in the following text:,0.8088235294117647
Mr. Wilson hadi no. objection to that.,Mr. Wilson had no objection to that.,Fix OCR errors in the following text:,0.8333333333333334
"She knocked his pipe out of his month because he called her out of her name, a~nd for the sanae reason she knneked his hat off and 3u sd!or it.","She knocked his pipe out of his mouth because he called her out of her name, and for the same reason she knocked his hat off and jumped on it.",Fix OCR errors in the following text:,0.8309859154929577
The jury were exempted from flrther re- servic for six years.,The jury were exempted from further service for six years.,Fix OCR errors in the following text:,0.7586206896551724
"-The prisoner had not been many minutes discharged, when the proaseutrix entered the courtand said that shehad never been consulted or ever given her sanction to taking money for the injury that had been done to her, for the prisoner had repeatedly threatened her since he had been out ott bail, and every moment she went in danger of her life.","–The prisoner had not been many minutes discharged, when the prosecutrix entered the court and said that she had never been consulted or ever given her sanction to taking money for the injury that had been done to her, for the prisoner had repeatedly threatened her since he had been out on bail, and every moment she went in danger of her life.",Fix OCR errors in the following text:,0.9101449275362319
"Anout a hloul tnd a quartr afte?. ward. the machine vwa set in motion by James Shsdrich, the engine driver,-","About an hour and a quarter afterwards the machine was set in motion by James Shadrich, the engine driver.",Fix OCR errors in the following text:,0.8018867924528302
"AN OLD SUrsCoRIsE (Plumstead).-I. Furniture does not include watches, clothes, &c.-2. We can see no reason for objecting to find the mourming.-S. Not for a single day.","AN OLD SUBSCRIBER (Plumstead). -1. Furniture does not include watches, clothes, &c. -2. We can see no reason for objecting to find the mourning. -3. Not for a single day.",Fix OCR errors in the following text:,0.8411764705882353
"In a few days afterwards the prisoner presented himself at the goods station, and claimed the goods for the firm of ""Franks and Co.,"" and paid the amount of carriage of the goods, 1?. 19s. lld., and not only directed the wheat to be conveyed to the stores of the supposed firm of Franks and Co., but actuafly superintended the loading- of the carts, and the deposit of the wheat into the stores.","In a few days afterwards the prisoner presented himself at the goods station, and claimed the goods for the firm of ""Franks and Co.,"" and paid the amount of carriage of the goods, 1l. 19s. 11d., and not only directed the wheat to be conveyed to the stores of the supposed firm of Franks and Co., but actually superintended the loading of the carts, and the deposit of the wheat into the stores.",Fix OCR errors in the following text:,0.916243654822335
. - ir Neilvtoli couinitted her for trial.,Mr. Newton committed her for trial.,Fix OCR errors in the following text:,0.9142857142857143
"From these indications of the impression the drunkard had produced around him, we may imagine the life his wife must have led, and. the long sad hourswhich preceded the final catastrophe.","From these indications of the impression the drunkard had produced around him, we may imagine the life his wife must have led, and the long sad hours which preceded the final catastrophe.",Fix OCR errors in the following text:,0.8449197860962567
"Prisoner was sentenced to six wleeks' imprisonment,",Prisoner was sentenced to six weeks' imprisonment.,Fix OCR errors in the following text:,0.78
After he had said so I took him Into custody.,After he had said so I took him into custody.,Fix OCR errors in the following text:,0.7777777777777778
"Mr. Hannay: I cannot make an order, and the slummons will be dismissed, but it seems-a great shame that such a defence should have been set up.","Mr. Hannay: I cannot make an order, and the summons will be dismissed, but it seems a great shame that such a defence should have been set up.",Fix OCR errors in the following text:,0.8450704225352113
"The inquiry was therefore adjourned again till Wednesday next, to afford time for an analysis to be made, and to see whether any of the other sufferers expire.","The inquiry was therefore adjourned again till Wednesday next, to afford time for an analysis to be made, and to see whether any of the other sufferers expire.",Fix OCR errors in the following text:,0.8427672955974843
"She denied that shewas in the habit of irritating him, or thateshe ever jeered hiini.","She denied that she was in the habit of irritating him, or that she ever jeered him.",Fix OCR errors in the following text:,0.7738095238095238
Wit- sue ness ordered prosecutor's removal to the hospital.,Witness ordered prosecutor's removal to the hospital.,Fix OCR errors in the following text:,0.7547169811320755
"Mr. Crawshaw reserved his cross- examination of the witness, and applied for bail; but Sir John Bridge refused, on the ground that if the charge were sustained it was a most serious offence.","Mr. Crawshaw reserved his cross-examination of the witness, and applied for bail; but Sir John Bridge refused, on the ground that if the charge were sustained it was a most serious offence.",Fix OCR errors in the following text:,0.8624338624338624
"- -.^ . A ..A;AAA........._1.- - l n o...,about 2:5 years Ot age, surrendered to li ue,,?l,,ev answer a charge of stealing a piece of er hail t, ornament, and other articles the lae at Pary I oaster, Daniel Thomas M1upby loPerty t51 pleaded ""Not guilty.""","–Mary Dempsey, about 25 years of age, surrendered to her bail to answer a charge of stealing a piece of lace, an ivory ornament, and other articles, the property of her pleaded ""Not guilty.""",Fix OCR errors in the following text:,0.8736842105263158
He was a hale and hearty man.,He was a hale and hearty man.,Fix OCR errors in the following text:,1.0344827586206897
"The arms were not sent over to Ireland with any treasonable object, and no evidence had been brought by the prosecution to show that esch was the case","The arms were not sent over to Ireland with any treasonable object, and no evidence had been brought by the prosecution to show that such was the case.",Fix OCR errors in the following text:,0.847682119205298
"3 AT the Central Criminal Court, before the Common t Scrjeant, Sir Forrest Fulton, Q.C., the trial of e Joseph Kopelwitz, twenty-six, and Maria Kopelwity, his wife, Russian Jews, who were indicted for having administered a stupefying drug to Abraham Isaac Friedman, a Polish Jew, military outfitter, carrying on business in Spitalfields, with intent to enable them to rob him, and with having administered the said drug to compel and induce Friedman to execute a valuable security, was continued and concluded.","AT the Central Criminal Court, before the Common Serjeant, Sir Forrest Fulton, Q.C., the trial of Joseph Kopelwitz, twenty-six, and Maria Kopelwitz, his wife, Russian Jews, who were indicted for having administered a stupefying drug to Abraham Isaac Friedman, a Polish Jew, military outfitter, carrying on business in Spitalfields, with intent to enable them to rob him, and with having administered the said drug to compel and induce Friedman to execute a valuable security, was continued and concluded.",Fix OCR errors in the following text:,0.9305555555555556
"-At the BrIoistree Petty V, A sions, ala Tuesday, John Ketlev, 30, all mate of the union workhouse, an bog up on remand charged with attemstingt murder George Chandler, the porter","-At the Braintree Petty sessions, on Tuesday, John Ketley, 39, an inmate of the union workhouse, was brought up on remand charged with attempting to murder George Chandler, the porter.",Fix OCR errors in the following text:,0.8695652173913043
It appeared that all the parties had formerly been friends.,It appeared that all the parties had formerly been friends.,Fix OCR errors in the following text:,0.7796610169491526
"MAITLAND FRANCIS MORLAND, described as a tntor, aged sixty-five, of 23, St. John street, Oxford, was charged, at Bow-street Police~court, on Monday, with attempting to obtain from Henry James, Lord Hothfiel, ithe sum of �70, and other moneye by false pretences.","MAITLAND FRANCIS MORLAND, described as a tutor, aged sixty-five, of 23, St. John-street, Oxford, was charged, at Bow-street Police-court, on Monday, with attempting to obtain from Henry James, Lord Hothfield, the sum of £70, and other moneys by false pretences.",Fix OCR errors in the following text:,0.8850574712643678
"He also found 541. lOs. in gold, 51. in silver, and a 51. bank-note.","He also found 54l. 10s. in gold, 5l. in silver, and a 5l. bank-note.",Fix OCR errors in the following text:,0.8088235294117647
The prosecutor was quite sober,The prosecutor was quite sober.,Fix OCR errors in the following text:,0.967741935483871
rORGERY BY A YOUNG LADY.,FORGERY BY A YOUNG LADY.,Fix OCR errors in the following text:,1.0416666666666667
ARREST OF A NoTomlous BunRLAr.,ARREST OF A NOTORIOUS BURGLAR.,Fix OCR errors in the following text:,1.0333333333333334
"The arms were not missed on Wednesday evening, but it is supposed they were abstracted on the previous night during a theatrical per- formance which most of the men, attended.","The arms were not missed on Wednesday evening, but it is supposed they were abstracted on the previous night during a theatrical performance which most of the men attended.",Fix OCR errors in the following text:,0.8488372093023255
"~~~. ..11 - ,L TnE shocking murder of a little boy two years old by his mother has horrified the neighbourhood of Tottenham.",THE shocking murder of a little boy two years old by his mother has horrified the neighbourhood of Tottenham.,Fix OCR errors in the following text:,0.7889908256880734
"A few weeks afterwards Mr. Legg, according to his affidavit, heard that Mr. Alex- ander had been accused of cheating a Mr. Wyndham of �550 at cards; at the Road Club, in January, 1885, and on the 18th of February the defendant wrote a letter to the committee of the Cocoa Tree Club to the effect that Mr. Harold Alexander had been com- pelled to resign his membership of the Road Club, having been detected at cheating at cards, and that he was prepared to prove this charge.","A few weeks afterwards Mr. Legg, according to his affidavit, heard that Mr. Alexander had been accused of cheating a Mr. Wyndham of £550 at cards, at the Road Club, in January, 1885, and on the 18th of February the defendant wrote a letter to the committee of the Cocoa Tree Club to the effect that Mr. Harold Alexander had been compelled to resign his membership of the Road Club, having been detected at cheating at cards, and that he was prepared to prove this charge.",Fix OCR errors in the following text:,0.9320594479830149
MIDDLESEX SESSIONS.,MIDDLESEX SESSIONS.,Fix OCR errors in the following text:,1.5789473684210527
"Koczula walked deter. minedly below, declining., almost rudely the, r approaches of his wife, who stood near him.","Koczula walked determinedly below, declining almost rudely the approaches of his wife, who stood near him.",Fix OCR errors in the following text:,0.8113207547169812
"* I- antiff bore ont the ststement of counsel, and added dt 'that t2he wedding wae fi:rtd to takeeplace onJuly.1ith, r..S9IM","Plaintiff bora out the statement of counsel, and added that the wedding was fired to take place on July 11th, 1892.",Fix OCR errors in the following text:,0.8260869565217391
THE EONESt!nAD PYSOuNQGS.,THE HOMESTEAD POISONINGS.,Fix OCR errors in the following text:,1.12
Ibelieve heintends to marry me now.,I believe he intends to marry me now.,Fix OCR errors in the following text:,0.8108108108108109
"Inspector Caminada was then called and put in a statement made by the prisoner Remington, who accused ltead of helping her to suffocate the child in Dark Hole Ckugh.","Inspector Camainada was then called and put in a statement made by the prisoner Remington, who accused Read of helping her to suffocate the child in Dark Hole Chough.",Fix OCR errors in the following text:,0.8674698795180723
"Last, it was stated, was in embarrassed circumstances, and had insured for 3001., while thce value of his stok was 301l Tol- lidy had been mixed up with Last in money matters.","Last, it was stated, was in embarrassed circumstances, and had insured for 300l., while the value of his stock was 30l, Tollidy had been mixed up with Last in money matters.",Fix OCR errors in the following text:,0.8497109826589595
"There was a heelmark in Smith's field which he com- paredwithone of prisoner's boots,and itcorresponded.","There was a heelmark in Smith's field which he compared with one of prisoner's boots, and it corresponded.",Fix OCR errors in the following text:,0.8113207547169812
"VnRsASlw , Thuvsday Evening.","VERSAILLES, Thursday Evening.",Fix OCR errors in the following text:,1.103448275862069
"It Was Preyed that warrant officers, to which class the prisoeter he longed, were the only class who were not sea on leaving the Government stores at thle dockyan,1 at Portsmouth.","It was proved that warrant officers, to which class the prisoner belonged, were the only class who were not searched on leaving the Government stores at the dockyard at Portsmouth.",Fix OCR errors in the following text:,0.85
Such were the circumstances under which the railway company on public grounds instituted this prosecution.,Such were the circumstances under which the railway company on public grounds instituted this prosecution.,Fix OCR errors in the following text:,0.7924528301886793
"Prosecutor: No, I did not.","Prosecutor: No, I did not.",Fix OCR errors in the following text:,1.0769230769230769
"They wanted to go ashore to get fresb provisions, to which they had, always been accu5toreed; and having got drunk, their preidence off course lef t 'theim, and they' were met by the intemperate adthority of tie commsander, who was n4t disposed 'to ntake any aUowance for thei' formser hahiti os condition.","They wanted to go ashore to get fresh provisions, to which they had always been accustomed; and having got drunk, their prudence of course left them, and they were met by the intemperate authority of the commander, who was not disposed to make any allowance for their former habits or condition.",Fix OCR errors in the following text:,0.8949152542372881
Mir. Mackay has been here for some time past on business connected with an important laweuit.,Mr. Mackay has been here for some time past on business connected with an important lawsuit.,Fix OCR errors in the following text:,0.782608695652174
Prosecutor deposed that late on the night of the 1'lth ult. he was fetched out of his rooms in Colchester-street by a message that a gentleman i desired to see hitn.,Prosecutor deposed that late on the night of the 17th ult. he was fetched out of his rooms in Colchester-street by a message that a gentleman desired to see him.,Fix OCR errors in the following text:,0.8633540372670807
"The jury returned a verdict If ""Ardc dental death.""","The jury returned a verdict of ""Accidental death.""",Fix OCR errors in the following text:,0.74
"Mr. Justice Kennedy, on taking his seat on Friday, said he had considered moat anxiously what it was his duty to do with regard to what took place the previous day, when a juryman left the precincts of the court, and did not obey his plain and manifest duty.","Mr. Justice Kennedy, on taking his sent on Friday, said he had considered most anxiously what it was his duty to do with regard to what took place the previous day, when a juryman left the precincts of the court, and did not obey his plain and manifest duty.",Fix OCR errors in the following text:,0.8992248062015504
His conduct had been outrageous and depicable.,His conduct had been outrageous and despicable.,Fix OCR errors in the following text:,0.7872340425531915
"They were wishing this friend good-bye when Mr. Burnett acoidenally touched the trigger of his gun, and the nontente bloged in Hensley's head.","They were wishing this friend good-bye when Mr. Burnett accidentally touched the trigger of his gun, and the contents lodged in Hensley's head.",Fix OCR errors in the following text:,0.8251748251748252
"Since that time the prisoner went to her house nearly every day, and she had sometimes left him sitting in a chair when she went to bed.","Since that time the prisoner went to her house nearly every day, and she had sometimes left him sitting in a chair when she went to bed.",Fix OCR errors in the following text:,0.8308823529411765
"AT the Wandsworth Police-courb, on Friday, Joseph h Hutnott, a costermonger, of Oak-cottages, Clapham, d was charged with disorderly conduct, causing a crowd s to assemble, and assaulting Police-constable Palfrey, 477 W, while in the execution of his duty.","AT the Wandsworth Police-court, on Friday, Joseph Hutnott, a costermonger, of Oak-cottages, Clapham, was charged with disorderly conduct, causing a crowd to assemble, and assaulting Police-constable Palfrey, 477 W, while in the execution of his duty.",Fix OCR errors in the following text:,0.888
"Inspector Cooper, X Division, produced l ce the table-knife, stained with blood, which he took so from the breakfast-room after the occurrence.","Inspector Cooper, X Division, produced the table-knife, stained with blood, which he took from the breakfast-room after the occurrence.",Fix OCR errors in the following text:,0.8444444444444444
"TURNING THE TABLES ON HIM.,",TURNING THE TABLES ON HIM.,Fix OCR errors in the following text:,1.0769230769230769
That sun he meant to last him until his half-pay was dies.,That sum he meant to last him until his half-pay was due.,Fix OCR errors in the following text:,0.7894736842105263
"The prisoner was a foreigner, and. at the time the occurrence took place he was carrying on the busi- ness of a confectioner at 105, Hackney-road, where he resided with his wife, to whom he was rluria-ed shortly before Christmas last.","The prisoner was a foreigner, and at the time the occurrence took place he was carrying on the business of a confectioner at 105, Hackney-road, where he resided with his wife, to whom he was married shortly before Christmas last.",Fix OCR errors in the following text:,0.8733624454148472
Itwvassl v0eer seven and eight o'clock when deceased was l enaiven from Chilweli.,It was between seven and eight o'clock when deceased was removed from Chilwell.,Fix OCR errors in the following text:,0.810126582278481
"-7RiWchmd fleldu, 38, a sailor, was indicted for Maliciously woundiniir tiara Grlace toddy, his wifes witb intent to niide lheis","-Richard Boddy, 38, a sailor, was indicted for maliciously wounding Clara Grace Boddy, his wife, with intent to murder her.",Fix OCR errors in the following text:,0.8048780487804879
"One witness said he saw the prisoner come home about ten o'clock the previous night, and heard him say. ""I wDil do for her to-night.""","One witness said he saw the prisoner come home about ten o'clock the previous night, and heard him say, ""I will do for her to-night.""",Fix OCR errors in the following text:,0.8421052631578947
"- Dennis Kelly, the son of the above, who is charged with causing the injuries, was present during the examination.","–Dennis Kelly, the son of the above, who is charged with causing the injuries, was present during the examination.",Fix OCR errors in the following text:,0.7894736842105263
"From a friend he heard his brother was a barman, and "" was employed at a publie-house near the Round House, Vauxhall..""","From a friend he heard his brother was a barman, and ""was employed at a public-house near the Round House, Vauxhall.""",Fix OCR errors in the following text:,0.811965811965812
"The brother and sister avo both been ap- prsbelldedg and though. bail was offered on behalf of A, Waits the mayor declined to adrmither to it.","The brother and sister have both been apprehended, and though bail was offered on behalf of Mrs. Waite the mayor declined to admit her to it.",Fix OCR errors in the following text:,0.8226950354609929
"A man named Edward Wilkinson, known as the "" Flying Butcher,"" was summoned by Constable Graham for street brawling.","A man named Edward Wilkinson, known as the ""Flying Butcher,"" was summoned by Constable Graham for street brawling.",Fix OCR errors in the following text:,0.8157894736842105
"Ift appears that the women are sisters, named Elizabeth M'Guinuis, aged about forty years, and Mary Joyce, thirty-two years of age.","It appears that the women are sisters, named Elizabeth M'Guinnis, aged about forty years, and Mary Joyce, thirty-two years of age.",Fix OCR errors in the following text:,0.8461538461538461
"It appears that on the night Clark Issi bin life 'the sergeant who had the charge of the beat whore he was on duty, and who ehould have met him at certain spots dering the night, had absented hirnself wtlibocat leave, arid when the murder wan discovered and he was called upon to give evidence, lie was placed in a very unpleaut pssitino, nnd in order to clear himself he swore that he-had met the dectoed in the performance of his dety at a certain epot and at a partionlar hoar, and he induced two othor constables belLsUgieg to the divi saln to come forward and give similar evidence.","It appears that on the night Clark lost his life the sergeant who had the charge of the beat where he was on duty, and who should have met him at certain spots during the night, had absented himself without leave, and when the murder was discovered and he was called upon to give evidence, he was placed in a very unpleasant position, and in order to clear himself he swore that he had met the deceased in the performance of his duty at a certain spot and at a particular hour, and he induced two other constables belonging to the division to come forward and give similar evidence.",Fix OCR errors in the following text:,0.9432989690721649
THE ' CARRGE FATALITY IN HYDE - 1 I PARXK,THE CARRIAGE FATALITY IN HYDE PARK.,Fix OCR errors in the following text:,0.9142857142857143
iHe ordered her to be imprisoned and kept at hard labour for fifteen months.,He ordered her to be imprisoned and kept at hard labour for fifteen months.,Fix OCR errors in the following text:,0.7466666666666667
"Police-constable Barrett, 285 B, said lie wvas sent to Victoria- street, and wvaited in the office.","Police-constable Barrett, 285 B, said he was sent to Victoria street, and waited in the office.",Fix OCR errors in the following text:,0.8105263157894737
rXTInAO~DlINiARY DEATH OF A POLICE I CONSTABLE.,EXTRAORDINARY DEATH OF A POLICE CONSTABLE.,Fix OCR errors in the following text:,0.7857142857142857
"Sarah Sunderland, mother of the last witness, said the prisoner visited her house on the night of the 18th ult., and she saw him there the next morning.","Sarah Sunderland, mother of the last witness, said the prisoner visited her house on the night of the 18th ult., and she saw him there the next morning.",Fix OCR errors in the following text:,0.8289473684210527
Eopper's father is a foreman in the Royal Arsenal.,Hopper's father is a foreman in the Royal Arsenal.,Fix OCR errors in the following text:,0.74
"-Mr. Ilenry inquired, why the prosecutor had not then given him into ens- tody.",-Mr. Henry inquired why the prosecutor had not then given him into custody.,Fix OCR errors in the following text:,0.7733333333333333
"I izzie Sunderland, the prisoner's sweetheart, repeated her previous evidence.","Lizzie Sunderland, the prisoner's sweetheart, repeated her previous evidence.",Fix OCR errors in the following text:,0.7792207792207793
"She accordingly invited him into the parlour, on biter- ing which the prisoner intitisated that he had been in- formed by her. husband that she had received a letter frsm her sister apprising her of her intention to return home in a few week*, and; commencing upbraiding her with her unkindness in failing to furnish him with in- telligence ih which lie felt so deer an interest.","She accordingly invited him into the parlour, on entering which the prisoner intimated that he had been informed by her husband that she had received a letter from her sister apprising her of her intention to return home in a few weeks, and commencing upbraiding her with her unkindness in failing to furnish him with intelligence in which he felt so deep an interest.",Fix OCR errors in the following text:,0.9130434782608695
He found it beneath the flooring of a water- closetin the garden at the back of the house.,He found it beneath the flooring of a water closet in the garden at the back of the house.,Fix OCR errors in the following text:,0.7666666666666667
Woolrych: Then you are remanded.,Mr. Woolrych: Then you are remanded.,Fix OCR errors in the following text:,0.8888888888888888
"There was a considerble effusion of blood under the scalp on each side, but the brain was not injured.","There was a considerable effusion of blood under the scalp on each side, but the brain was not injured.",Fix OCR errors in the following text:,0.8058252427184466
"-Thou a SS, fler, 41, late secretary of tie Aletropolitan of Operative Plasterers, May's-buildings,st Dlartia',. lane, surrendered to sis bail, for enlbewzlilie coons of 12fs. 6d., 31. 4s. d., 1t., and 1- Is,, recoil, by him on account of the above society","–Thomas Sangster, 41, late secretary of the Metropolitan Society of Operative Plasterers, May's-buildings, St. Martin's lane, surrendered to his bail, for embezzling the sums of 12s. 6d., 3l. 4s. 6d., 1l., and 1l. 5s., received by him on account of the above society.",Fix OCR errors in the following text:,0.8913857677902621
THE PsOLIo D THEIR DUTIES ATTHE COURT.,THE POLICE AND THEIR DUTIES AT THE COURT.,Fix OCR errors in the following text:,0.7804878048780488
"Mr. di William Bowen Thomas, ontritter, of Commercial- ti road, said that on the 1 .th the prisoner went to his nm shop and asked for a partiinlar kind of shirt.","Mr. William Bowen Thomas, outfitter, of Commercial-road, said that on the 13th the prisoner went to his shop and asked for a particular kind of shirt.",Fix OCR errors in the following text:,0.8333333333333334
"n , IOIN MoittiS COWEN, secretary of the English Crown1 Spelter Cwnpany'e London Branch was charged, ol v remand, at the Mansion House, with embezzling large sums of money.","JOHN MORRIS COWEN, secretary of the English Crown Spelter Company's London Branch was charged, on remand, at the Mansion House, with embezzling large sums of money.",Fix OCR errors in the following text:,0.8353658536585366
"They were noisy people, it was said, and whic none of the lodgers could get much rest for them.","They were noisy people, it was said, and none of the lodgers could get much rest for them.",Fix OCR errors in the following text:,0.7888888888888889
CHsAGEo or Renowsy.,CHARGE OF ROBBERY.,Fix OCR errors in the following text:,1.7222222222222223
-Mr. ihfannfield said he considered it a very diegraceful riot.,–Mr. Mansfield said he considered it a very disgraceful riot.,Fix OCR errors in the following text:,0.7704918032786885
"AT the Man sion Honso Police-court the Metropolitan and the ,Metropolitan District Railway Companies appeared before the Lord Mayor, M.P., by their repre- sentatives, in order that the amount of compensation claimed under 121st section of the Lands Clauses Con- solidation Act by Mr. Dow, the proprietor of the MIonument Tavern, Fish-stroet-hill, might be fixed.","AT the Mansion House Police-court the Metropolitan and the Metropolitan District Railway Companies appeared before the Lord Mayor, M.P., by their representatives, in order that the amount of compensation claimed under 121st section of the Lands Clauses Consolidation Act by Mr. Dew, the proprietor of the Monument Tavern, Fish-street-hill, might be fixed.",Fix OCR errors in the following text:,0.9098591549295775
"-Police-constable Elias Taylor, 234 T, said he was on duty in tho Gloecester-load when apage-boycmll edhim toDr. Tyrrell's surgery, and on proceeding there he found thedeceased with his throat cut, and in answer to his questions, the child told him his mother had cut his throat.","-Police-constable Elias Taylor, 234 T, said he was on duty in the Gloucester-road when a page-boy called him to Dr. Tyrrell's surgery, and on proceeding there he found the deceased with his throat cut, and in answer to his questions, the child told him his mother had cut his throat.",Fix OCR errors in the following text:,0.901060070671378
