Sample ID,Date,Publication,OCR Text,Ground Truth,CER
3206222248,1865-04-09,Lloyd's Illustrated Newspaper,"Mrs. Moseleywasthen called forward andcautioned, and it was stated by Police-constable Miller, 148 G, that he had. frequently seen Williams go in and out of her house, and he, believed le lived with her.","Mrs. Moseley was then called forward and cautioned, and it was stated by Police-constable Miller, 148 G, that he had frequently seen Williams go in and out of her house, and he believed he lived with her.",0.0294117647058823
3200803403,1886-08-21,Illustrated Police News,"On being searched a few coins and a cleaning-rod of a pistol was found upon him, but no ammunition.","On being searched a few coins and a cleaning-rod of a pistol was found upon him, but no ammunition.",0.0
3200810294,1892-04-16,Illustrated Police News,"The prosecutor opened it, anil the prisoner forced his way into the house and rat pstairs.","The prosecutor opened it, and the prisoner forced his way into the house and ran upstairs.",0.0444444444444444
3206257161,1884-06-08,Lloyd's Illustrated Newspaper,"Mr. Hatton, the master, had been do stairs at 12o'clocl, and lefttheback dcorunfastesd but nothing was heard until the police arrsver3","Mr. Hatton, the master, had been downstairs at 12 o'clock, and left the back door unfastened, but nothing was heard until the police arrived.",0.0992907801418439
3206225730,1866-08-19,Lloyd's Illustrated Newspaper,"Police-con- stable Robinson, 48 P, said that on the previous night between ten and eleven o'clock he received information that a black bag containing some boots had been stolen from a cab in the front of the Weymouth Arms public-house, Newington, by a young fellow who had been left in charge of the vehicle.","Police-constable Robinson, 48 P, said that on the previous night between ten and eleven o'clock he received information that a black bag containing some boots had been stolen from a cab in the front of the Weymouth Arms public-house, Newington, by a young fellow who had been left in charge of the vehicle.",0.0065359477124183
3207166294,1834-12-08,Morning Chronicle,"'TIhe laty crossed the road several tintes, atrd the priroter folltwedi her each time with the greatest imptrtlertce, till fitdittg she could extort no mmoney, site revenged herself bty strilitlg tIe lady ott the face svith a force that tdrew blooti and felled tier to tbe grotind.","The lady crossed the road several times, and the prisoner followed her each time with the greatest impudence, till finding she could extort no money, she revenged herself by striking the lady on the face with a force that drew blood, and felled her to the ground.",0.1520912547528517
3200810718,1892-08-27,Illustrated Police News,"A letter-carrier named Ramsay stated that he was entrusted with the morn- ing delivery in York-street, Covont-garden.","A letter-carrier named Ramsay stated that he was entrusted with the morning delivery in York-street, Covent-garden.",0.0260869565217391
3206200069,1852-04-11,Lloyd's Illustrated Newspaper,"It will be remembeered that the defendants were tried before Mr. Withamn for assaulting John O'Brien, and found guilty, when they were sentenced to pay a fine of 501. each, but were subsequently ordered to enter into recognisances to appear to-day to receive judgment, it being understood at the tiose that the sentence pronounced would not be Altered.","It will be remembered that the defendants were tried before Mr. Witham for assaulting John O'Brien, and found guilty, when they were sentenced to pay a fine of 50l. each, but were subsequently ordered to enter into recognisances to appear to-day to receive judgment, it being understood at the time that the sentence pronounced would not be altered.",0.0171919770773638
3206192201,1848-06-11,Lloyd's Illustrated Newspaper,"The contract set forth that Ricordi was to have the full right of property for sale, &c., in the saii opera.","The contract set forth that Ricordi was to have the full right of property for sale, &c., in the said opera.",0.0092592592592592
3206224252,1866-01-14,Lloyd's Illustrated Newspaper,"She would be able to' make her statemes~t.bn her trial, and it' would be for the jury to say whether they believed her.","She would be able to make her statement on her trial, and it would be for the jury to say whether they believed her.",0.0517241379310344
3206201955,1858-01-24,Lloyd's Illustrated Newspaper,"Mr. Mathews, on behalf of the prisoner, admitted that his client was not free from blame, in the lax- he might say the scandalous-manner in which the bodies of paupers bad been treated, but contended that no sale of the bodies for profit had been made out, and that Hogg, the undertaker, who had access to the dead-house, ought to be placed at the bar rather than his client.","Mr. Mathews, on behalf of the prisoner, admitted that his client was not free from blame, in the lax-he might say the scandalous-manner in which the bodies of paupers had been treated, but contended that no sale of the bodies for profit had been made out, and that Hogg, the undertaker, who had access to the dead-house, ought to be placed at the bar rather than his client.",0.0053475935828877
3200810294,1892-04-16,Illustrated Police News,"On the night of the attacli two friends cconmpanied 'him home, but left him a- the door.","On the night of the attack two friends accompanied him home, but left him at the door.",0.0697674418604651
3206236091,1871-01-01,Lloyd's Illustrated Newspaper,"The other man fell In such a ppsition as to have the wheels of the 'bus'pass over his back and right arm, the latter being ifrctured in two places.","The other man fell in such a position as to have the wheels of the bus pass over his back and right arm, the latter being fractured in two places.",0.0410958904109589
3206190290,1847-04-18,Lloyd's Illustrated Newspaper,"Witness then left the house, and at half-past two returned again ovi h Captain Jenkins, who determined to put the case into the hands of tie cousetable, and himself and econstable went up stairs, unlocked the box, took out the child, atd to the surprise of all pre ent found it to be alive.","Witness then left the house, and at half-past two returned again with Captain Jenkins, who determined to put the case into the hands of the constable, and himself and constable went upstairs, unlocked the box, took out the child, and to the surprise of all present found it to be alive.",0.0349650349650349
3200811642,1893-05-20,Illustrated Police News,"-At the Loeds Assizes, Emily Harriet Wilson, eighteen, domestic servant, was charged with the murder of her newly-born child at' Wentworth, near Barneley, by suffocating it.","-At the Leeds Assizes, Emily Harriet Wilson, eighteen, domestic servant, was charged with the murder of her newly-born child at Wentworth, near Barnsley, by suffocating it.",0.0174418604651162
3202413243,1853-03-27,The Era,"The system pursued by the prisoner was that of following children, and so ascertaining their Christian names, by which she immediately addressed them, at the same time making the most anxious inquiries after the health of their parents.","The system pursued by the prisoner was that of following children, and so ascertaining their Christian names, by which she immediately addressed them, at the same time making the most anxious inquiries after the health of their parents.",0.0
3200810690,1892-08-20,Illustrated Police News,"Mr. Lonis Nutting, of Lincoln'siiun-fields, solicitor to Mr. Godfrey Baker, said the defendant Bolton called at his office on July 17th and had an interview with him.","Mr. Louis Nutting, of Lincoln's-inn-fields, solicitor to Mr. Godfrey Baker, said the defendant Bolton called at his office on July 17th and had an interview with him.",0.0180722891566265
3200810690,1892-08-20,Illustrated Police News,"John Barry O'Cal- laghan-, forty-five, an engineer and surveyor, of 39, Parolles-road,Eigbgate, and Sarah Ann Bolton, forty- four, described as a "" chaperone,"" of 55, Bernard- street, Ilussell-square, were charged with being con- cerned together in unlawfully taking away a child, aged eight months, named Phyllis Massey Baker, from the custody of its parent, Mr. Godfrey Baher.","John Barry O'Callaghan, forty-five, an engineer and surveyor, of 39, Parolles-road, Highgate, and Sarah Ann Bolton, forty-four, described as a ""chaperone,"" of 55, Bernard-street, Russell-square, were charged with being concerned together in unlawfully taking away a child, aged eight months, named Phyllis Massey Baker, from the custody of its parent, Mr. Godfrey Baker.",0.0378378378378378
3206251983,1882-04-02,Lloyd's Illustrated Newspaper,ATTFEMPTINO To DEFRAUD NOLE1MEN.,ATTEMPTING TO DEFRAUD NOBLEMEN.,0.1612903225806451
3206224235,1866-01-14,Lloyd's Illustrated Newspaper,BANEinstTT.,BANKRUPTS.,0.6
3200803382,1886-08-21,Illustrated Police News,She packed the luggage and scont 't to Waiterloo Station the saime day.,She packed the luggage and sent it to Waterloo Station the same day.,0.0735294117647058
3206240001,1872-09-01,Lloyd's Illustrated Newspaper,"-The Coroner admitted thatthere was a mystery in the ease, but thought the best course for the jury to pursue was to return an open verdict, so that the police might follow the case up.","-The Coroner admitted that there was a mystery in the case, but thought the best course for the jury to pursue was to return an open, verdict, so that the police might follow the case up.",0.0160427807486631
3206223327,1865-09-10,Lloyd's Illustrated Newspaper,After I had entered the charge seathe charge-sheet the prisoner cemnisuced making a statement.,After I had entered the charge on the charge-shoot the prisoner commenced making a statement.,0.1075268817204301
3206235318,1870-08-28,Lloyd's Illustrated Newspaper,THE YURDER AT Blourmox,THE MURDER AT BROMPTON.,0.391304347826087
3200810696,1892-08-20,Illustrated Police News,"Mr. Hopkins described the prisoner as a despicable being in the shape of a man, and sentenced him to six months' hard labour.","Mr. Hopkins described the prisoner as a despicable being in the shape of a man, and sentenced him to six months' hard labour.",0.0
3206205267,1859-04-17,Lloyd's Illustrated Newspaper,",Stirling Journael.",-Stirling Journal.,0.1111111111111111
3200812244,1893-11-04,Illustrated Police News,There were also eleven drafts of letters bearing the : names of 157 peers and baronets.,There were also eleven drafts of letters bearing the names of 157 peers and baronets.,0.0235294117647058
3200803389,1886-08-21,Illustrated Police News,"| C .03 "". ! ':'' a"":r'ClflCnt wasLF reavd ever t-) Ms. , -i f.wr, 1hu si",Cross-examined: The agreement was read over to Mrs. Neal -fore she signed it.,0.6623376623376623
3200810717,1892-08-27,Illustrated Police News,"He rose and took Hegarty into custody, but that prisoner was resoned by a number of roughs.","He rose and took Hegarty into custody, but that prisoner was rescued by a number of roughs.",0.0219780219780219
3200810128,1892-02-20,Illustrated Police News,"Mrs. Cules identificd the property, and said that the house had been entered by the kitchen window.","Mrs. Coles identified the property, and said that the house had been entered by the kitchen window.",0.0202020202020202
3202426393,1858-07-25,The Era,GLANDERED HORSE.S.,GLANDERED HORSES.,0.0588235294117647
3202405178,1846-02-15,The Era,HoRRsIBLE CASE.,HORRIBLE CASE.,0.1428571428571428
3206257721,1884-08-31,Lloyd's Illustrated Newspaper,CLEVER CAPTURE OF,CLEVER CAPTURE OF BURGLARS.,0.3703703703703703
3200810271,1892-04-09,Illustrated Police News,Witness: I have not visited you.,Witness: I have not visited you.,0.0
3200810896,1892-10-22,Illustrated Police News,"Mr. Algetron Coote, secretary to the Orphan S hool, proved that he visited the deceased, and the latter told him that his injuries were the result of an accident;","Mr. Algernon Coote, secretary to the Orphan School, proved that he visited the deceased, and the latter told him that his injuries were the result of an accident.",0.0246913580246913
3206269588,1889-07-14,Lloyd's Illustrated Newspaper,Hie was further renma30de,He was further remanded.,0.25
3206235318,1870-08-28,Lloyd's Illustrated Newspaper,".goomenfew areditors have not been able;.to attend in. time, but their cbeques are ready and eca be received in November.","Some few creditors have not been able to attend in time, but their cheques are ready and can be received in November.",0.094017094017094
3200811239,1893-01-28,Illustrated Police News,"Her lips quivered s to with suppressed emotion, and as she talked with her IL solicitor she pressed her hands tightly together, and was -w heard tosay, inawhisper ""Oh!God, relievemnefrom tlsi ri a, agony.""","Her lips quivered with suppressed emotion, and as she talked with her solicitor she pressed her hands tightly together, and was heard to say, in a whisper ""Oh! God, relieve me from this agony.""",0.1347150259067357
3206321007,1874-05-24,Lloyd's Illustrated Newspaper,We freely confess that the question isburrc~nded by difficulties; but it is not theflesl ~I~t on this account.,We freely confess that the question is surrounded by difficulties; but it is not the less important on this account.,0.1206896551724138
3206245336,1879-09-21,Lloyd's Illustrated Newspaper,"Mir. H. Sugar, chemist, High-street, Notting-hill, said the deceased pur- chased the laudunum from him, stating that she wanted it to cure her son's toothache.","Mr. H. Sugar, chemist, High-street, Notting-hill, said the deceased purchased the laudanum from him, stating that she wanted it to cure her son's toothache.",0.0256410256410256
3206328498,1877-07-22,Lloyd's Illustrated Newspaper,"Ile died a short time after being admitted, and the medical officer gave it as his opinion that deceased died from effusion of the brain, consequent upon delirium tremens.","He died a short time after being admitted, and the medical officer gave it as his opinion that deceased died from effusion of the brain, consequent upon delirium tremens.",0.0117647058823529
3200812244,1893-11-04,Illustrated Police News,He Was ra thus in a position to woris a combination matrimonal S and detective- agency by himself alone.,He was thus in a position to work a combination matrimonial and detective agency by himself alone.,0.1020408163265306
3206222914,1865-07-16,Lloyd's Illustrated Newspaper,"Mr. Woolrych observed that cc very desperate at tempt had been made to rob the prosecutor, and . the evidence was so direct he should commit the uni sener for trial.","Mr. Woolrych observed that a very desperate attempt had been made to rob the prosecutor, and a the evidence was so direct he should commit the prisoner for trial.",0.0493827160493827
3206228201,1867-08-25,Lloyd's Illustrated Newspaper,"He proposed that they should kill theiwbole of the crow, and then run the vessel to some port and sell her.","He proposed that they should kill the whole of the crow, and then run the vessel to some port and sell her.",0.0186915887850467
3200810884,1892-10-15,Illustrated Police News,Owing to its smallness it was more like entering a stove than anything else.,Owing to its smallness it was more like entering a stove than anything else.,0.0
3200811435,1893-03-25,Illustrated Police News,"The total amount is about 2'5 000, which will go but a very short way towards replacing the losses many have sustained.","The total amount is about £5 000, which will go but a very short way towards replacing the losses many have sustained.",0.0169491525423728
3200811364,1893-03-04,Illustrated Police News,"Julstice Li elldey: Did you not rur thedantages up youlrslef by lrin;noge all this ounr aboat the hair, the nate, and the driir.","Justice Lindley: Did you not run the damages up yourself by bringing all this out about the hair, the cab, and the drink.",0.2066115702479339
3206211839,1861-08-11,Lloyd's Illustrated Newspaper,"He had received a wound along the left eyebrow, and reachiog some dis tance along the nose.","He had received a wound along the left eyebrow, and reaching some distance along the nose.",0.0222222222222222
3206213295,1862-02-02,Lloyd's Illustrated Newspaper,He went to the hospital that morning and received the certificate prodaced.,He went to the hospital that morning and received the certificate produced.,0.0133333333333333
3200811447,1893-04-01,Illustrated Police News,"The Judge, in summing . up, said 'these charges were easily made and of ten difficalt to repel.","The Judge, in summing up, said these charges were easily made and often difficult to repel.",0.0549450549450549
3206260984,1886-01-10,Lloyd's Illustrated Newspaper,"-F. A. Schanfelbirgn, of Fitz- roy-square, and a young man naofd Dagen- koib, were to have been cialed as witnesses, ,but refusing to take the oath were not heard.","-F. A. Schanfelbirgn, of Fitzroy-square, and a young man named Dagenkolb, were to have been called as witnesses, but refusing to take the oath were not heard.",0.0632911392405063
3206201457,1852-11-07,Lloyd's Illustrated Newspaper,"It is the duty of the Reigate station-clerk to see at appointed times that the upline is clear and the signals all right for the up-train to pass, and this duty, it is asserted, was punctually performed on the present occasion by the officer in question, so that no blame on account of the accident is attributed to him.","It is the duty of the Reigate station-clerk to see at appointed times that the up line is clear and the signals all right for the up-train to pass, and this duty, it is asserted, was punctually performed on the present occasion by the officer in question, so that no blame on account of the accident is attributed to him.",0.0031152647975077
3200811428,1893-03-25,Illustrated Police News,"'The letter eauaed !Lopper and te geirl' great, distress.",The letter caused Hopper and the girl great distress.,0.1698113207547169
3200808398,1889-11-09,Illustrated Police News,By Mr. Remain: Unless I had t been set to watch possibly I might not have been a suspicious of her.,By Mr. Romain: Unless I had been set to watch possibly I might not have been suspicious of her.,0.0526315789473684
3206244598,1879-06-15,Lloyd's Illustrated Newspaper,"Tue deceased was about 28 yeats of age, and the body waS tiouch decomiposed,","The deceased was about 28 years of age, and the body was much decomposed.",0.1095890410958904
3206232847,1869-08-15,Lloyd's Illustrated Newspaper,"After a few weeks' association the major induced the complainant to meet him in London, took her to a house of ill fame, and there seduced her.","After a few weeks' association the major induced the complainant to meet him in London, took her to a house of ill fame, and there seduced her.",0.0
3200812528,1894-01-27,Illustrated Police News,". The prisoner then ean T l at from the living room, passed yait-,ees in-the paioaga, t, on and left the btuilding.","The prisoner then came from the living room, passed witness in the passage, and left the building.",0.2755102040816326
3206203053,1858-06-27,Lloyd's Illustrated Newspaper,He would then ascertain that Bilaire was in a government situation there.,He would then ascertain that Hilaire was in a government situation there.,0.0136986301369863
3200811024,1892-11-26,Illustrated Police News,In the previous month he spoke to Mr. Chevalier about the matter and the latter said he would attend to it.,In the previous month he spoke to Mr. Chevalier about the matter and the latter said he would attend to it.,0.0
3206269950,1889-09-01,Lloyd's Illustrated Newspaper,"On Tuesday he was passing through High-street, AIdgate, when he met a procession of men on strike.","On Tuesday he was passing through High-street, Aldgate, when he met a procession of men on strike.",0.010204081632653
3200801634,1885-06-20,Illustrated Police News,"The prisoner, who now expressed regret for his conduct, was ordered to pay a fine of 40s., or in default one month's hard labour.","The prisoner, who now expressed regret for his conduct, was ordered to pay a fine of 40s., or in default one month's hard labour.",0.0
3206316965,1857-09-06,Lloyd's Illustrated Newspaper,"A lodger in the house told me the prisoner was in the habit of coming home intoxicated with the child at all hours of the night, that this was the only child she had, and that her husband is a sailor, whose pay she was receiving.","A lodger in the house told me the prisoner was in the habit of coming home intoxicated with the child at all hours of the night, that this was the only child she had, and that her husband is a sailor, whose pay she was receiving.",0.0
3200810285,1892-04-09,Illustrated Police News,"-OnQ Satur- day, atRedhill, before the mayor, a wretehed-looking man, named Henry Burchell, of White Bushes Cot- tages, Earlswood, was charged with shooting at his wife with intent to do her grievous bodily harm.","-On Saturday, at Redhill, before the mayor, a wretched-looking man, named Henry Burchell, of White Bushes Cottages, Earlswood, was charged with shooting at his wife with intent to do her grievous bodily harm.",0.0336538461538461
3200811330,1893-02-25,Illustrated Police News,Mr. Curtis Bennett: I suppose that means William. (Laughter.),Mr. Curtis Bennett: I suppose that means William. (Laughter.),0.0
3200797034,1882-05-27,Illustrated Police News,"The acc sed said:-"" My son gave,1no, the things to pledge, as I was better kon, ettcould got mnore nemolicy","The accused said: - ""My son gave me the things to pledge, as I was better known, and could get more money.",0.2169811320754717
3206228605,1867-10-27,Lloyd's Illustrated Newspaper,"faplilC of n~r woo, w rarrd.o ianformle o tie and cn- stildS, sill aters'lt wth him from Colar, Dr., ron- sac woslngwih isprofessional brother, made aoertem cilayniarstion of the b edy, which ended jar; s nd e ion tato deah nresulted from the injnr. Olsso ha rceiedfrosn the stone, thle skull 0, eion esrctrd","Captain Bremner was also informed of the circumstances, and brought with him from Cupar, Dr. Bonsar, who, along with his professional brother, made post-mortem examination of the body, which ended is an opinion that death resulted from the injury Glanning had received from the stone, the skull having been fractured.",0.4037854889589905
3206198085,1851-06-29,Lloyd's Illustrated Newspaper,"She accordingly invited him into the parlour, on biter- ing which the prisoner intitisated that he had been in- formed by her. husband that she had received a letter frsm her sister apprising her of her intention to return home in a few week*, and; commencing upbraiding her with her unkindness in failing to furnish him with in- telligence ih which lie felt so deer an interest.","She accordingly invited him into the parlour, on entering which the prisoner intimated that he had been informed by her husband that she had received a letter from her sister apprising her of her intention to return home in a few weeks, and commencing upbraiding her with her unkindness in failing to furnish him with intelligence in which he felt so deep an interest.",0.0516304347826086
3200810145,1892-02-27,Illustrated Police News,"He said, no, she had never resided with him, but visited his house *i a friend.","He said, no, she had never resided with him, but visited his house a friend.",0.0394736842105263
3202982093,1863-06-10,Daily News,"The main point, however, relied upon by the prosecution was the fact of the prisoner having denied all knowledge of the man Yates when questioned by the prosecutor, it being alleged on the part of the prosecution that they were well acquainted with each other.","The main point, however, relied upon by the prosecution was the fact of the prisoner having denied all knowledge of the man Yates when questioned by the prosecutor, it being alleged on the part of the prosecution that they were well acquainted with each other.",0.0
3206247550,1880-07-25,Lloyd's Illustrated Newspaper,There was a slight super- ficial woundacross the throat.,There was a slight superficial wound across the throat.,0.0545454545454545
3207166294,1834-12-08,Morning Chronicle,"'File Iurisotier, on beiig taken it 0 I curstody and ctttveyed to thenwatchI- horise, stated his namse to ie .1 tto Bow3,twros, and that lie teided at 17, inlingtet -road.","The prisoner, on being taken into custody and conveyed to the watch house, stated his name to lie JORN BOWERS, and that he resided at 17, Islington-road.",0.3202614379084967
3200813282,1894-08-04,Illustrated Police News,"AT Croydon, on Friday, Elizabeth Grosvenor, forty- to three years of age, described as a canvasser, of 10, Park- m terrace, Earl's-court-road, Kensington, was charged with T."" stealing Arthur Bartrtnm, aged three and a half years, the ohild of a coachman in the employments of the Croydon Gas Company, who had been missing from. his home at 129, Handoroft-road, Croydon, nearly a fort-. - night.","AT Croydon, on Friday, Elizabeth Grosvenor, forty-three years of age, described as a canvasser, of 10, Park- terrace, Earl's-court-road, Kensington, was charged with stealing Arthur Bartrum, aged three and a half years, the child of a coachman in the employment of the Croydon Gas Company, who had been missing from his home at 129, Handcroft-road, Croydon, nearly a fart night.",0.0555555555555555
3206222306,1865-04-16,Lloyd's Illustrated Newspaper,"After considerable discussion the juroV ree to the following verdict :T- shat deceased lis3s died from exhaustion after being delivered of a child, and from exposure to cold oni being removed from Chil. well to Beeston, and for waant of proper moedical as. sistance.""","After considerable discussion the jury agreed to the following verdict: --""That deceased has died from exhaustion after being delivered of a child, and from exposure to cold on being removed from Chilwell to Beeston, and for want of proper medical assistance.""",0.0807692307692307
3206238108,1871-11-05,Lloyd's Illustrated Newspaper,"-Mr. Roberts, presidentof the ievivere of Arltih IUdustrY, was putin the ehair as an impartial crItic,'afid the debate -wass opened by Mr. VWeinn, plasterer.","–Mr. Roberts, president of the Revivers of British Industry, was put in the chair as an impartial critic, and the debate was opened by Mr. Winn, plasterer.",0.1225806451612903
3200810690,1892-08-20,Illustrated Police News,"He understood that he was in debt, but had means to meet his liabilities.","He understood that he was in debt, but had means to meet his liabilities.",0.0
3200810896,1892-10-22,Illustrated Police News,"I I .. .. . -, . a m ON Monday, at the Central Criminal Court, Mary Agnes Illingworth, nage(d twenty, tutor, who was con- victed at the Julv Sieons of offences under the Post Offlice Acts, was brought up for juldgment.","ON Monday, at the Central Criminal Court, Mary Agnes Illingworth, aged twenty, tutor, who was convicted at the July Sessions of offences under the Post Office Acts, was brought up for judgment.",0.1658031088082901
3206211949,1861-08-25,Lloyd's Illustrated Newspaper,Remembered going on board on the 22nd December Saw then both Henderson's eyes were black and part of the face.,Remembered going on board on the 22nd December Saw then both Henderson's eyes were black and part of the face.,0.0
3206255424,1883-09-02,Lloyd's Illustrated Newspaper,The slander com- plained of is the statement of Carroll that the plain- tiff had conspired to murder him.,The slander complained of is the statement of Carroll that the plaintiff had conspired to murder him.,0.0396039603960396
3200811985,1893-08-26,Illustrated Police News,The-pvisomer was committed for trial.,The prisoner was committed for trial.,0.081081081081081
