OCR Text,Ground Truth,Model Prediction,CER,WER
"Tll. trial oi Peton tle doblu chlarge of poisoning his first wife--his second is still living-and a servant who was also his mistress, has resulted in a verdict of ty guilty agaiust the prisoner on the second count, or althougbh the jury were unable to makeup their minds at to convict him on the first, notwithstanding the de- of clared presence of arsenic in the exhumed remains of ts his wife.","THE trial of Pel on the double charge of poisoning his first wife – his second is still living – and a servant who was also his mistress, has resulted in a verdict of guilty against the prisoner on the second count, although the jury were unable to make up their minds to convict him on the first, notwithstanding the declared presence of arsenic in the exhumed remains of his wife.","The trial of Peton, accused of poisoning his first wife--his second is still living-and a servant who was also his mistress, has resulted in a verdict of guilty against the prisoner on the second count, or otherwise the jury were unable to make their minds at to convict him on the first, notwithstanding the presence of arsenic in the exhumed remains of his wife.",0.13350785340314136,0.23943661971830985
"-At the Croydon Borough Police-court, William BRobert Tuck, described as a labourer, without a home, was charged with stealing a sovereign, the property of Charles Ralls, his master.","-At the Croydon Borough Police-court, William Robert Tuck, described as a labourer, without a home, was charged with stealing a sovereign, the property of Charles Ralls, his master.","-At the Croydon Borough Police-court, William BRobert Tuck, described as a labourer, without a home, was charged with stealing a sovereign, the property of Charles Ralls, his master.",0.0055248618784530384,0.03571428571428571
"Mrs. Moseleywasthen called forward andcautioned, and it was stated by Police-constable Miller, 148 G, that he had. frequently seen Williams go in and out of her house, and he, believed le lived with her.","Mrs. Moseley was then called forward and cautioned, and it was stated by Police-constable Miller, 148 G, that he had frequently seen Williams go in and out of her house, and he believed he lived with her.","Mrs. Moseleywasthen called forward and cautioned, and it was stated by Police-constable Miller, 148 G, that he had frequently seen Williams go in and out of her house, and he believed he lived with her.",0.00980392156862745,0.08108108108108109
"On being searched a few coins and a cleaning-rod of a pistol was found upon him, but no ammunition.","On being searched a few coins and a cleaning-rod of a pistol was found upon him, but no ammunition.","On being searched a few coins and a cleaning-rod of a pistol was found upon him, but no ammunition.",0.0,0.0
"The prosecutor opened it, anil the prisoner forced his way into the house and rat pstairs.","The prosecutor opened it, and the prisoner forced his way into the house and ran upstairs.","The prosecutor opened it, and the prisoner forced his way into the house and upstairs.",0.044444444444444446,0.0625
"Mr. Hatton, the master, had been do stairs at 12o'clocl, and lefttheback dcorunfastesd but nothing was heard until the police arrsver3","Mr. Hatton, the master, had been downstairs at 12 o'clock, and left the back door unfastened, but nothing was heard until the police arrived.","Mr. Hatton, the master, had been upstairs at 12 o'clock, and left the back door open, but nothing was heard until the police arrived.",0.0851063829787234,0.08333333333333333
"Police-con- stable Robinson, 48 P, said that on the previous night between ten and eleven o'clock he received information that a black bag containing some boots had been stolen from a cab in the front of the Weymouth Arms public-house, Newington, by a young fellow who had been left in charge of the vehicle.","Police-constable Robinson, 48 P, said that on the previous night between ten and eleven o'clock he received information that a black bag containing some boots had been stolen from a cab in the front of the Weymouth Arms public-house, Newington, by a young fellow who had been left in charge of the vehicle.","Police-constable Robinson, 48 P, said that on the previous night between ten and eleven o'clock he received information that a black bag containing some boots had been stolen from a cab in the front of the Weymouth Arms public-house, Newington, by a young fellow who had been left in charge of the vehicle.",0.0,0.0
"'TIhe laty crossed the road several tintes, atrd the priroter folltwedi her each time with the greatest imptrtlertce, till fitdittg she could extort no mmoney, site revenged herself bty strilitlg tIe lady ott the face svith a force that tdrew blooti and felled tier to tbe grotind.","The lady crossed the road several times, and the prisoner followed her each time with the greatest impudence, till finding she could extort no money, she revenged herself by striking the lady on the face with a force that drew blood, and felled her to the ground.","She crossed the road several times, and the prisoner follied her each time with the greatest force, till she could extort no money, she revenged herself by striking the lady on the face with a force that caused her to fall to the ground.",0.16730038022813687,0.2127659574468085
"A letter-carrier named Ramsay stated that he was entrusted with the morn- ing delivery in York-street, Covont-garden.","A letter-carrier named Ramsay stated that he was entrusted with the morning delivery in York-street, Covent-garden.","A letter-carrier named Ramsay stated that he was entrusted with the morning delivery in York-street, Covent-garden.",0.0,0.0
"It will be remembeered that the defendants were tried before Mr. Withamn for assaulting John O'Brien, and found guilty, when they were sentenced to pay a fine of 501. each, but were subsequently ordered to enter into recognisances to appear to-day to receive judgment, it being understood at the tiose that the sentence pronounced would not be Altered.","It will be remembered that the defendants were tried before Mr. Witham for assaulting John O'Brien, and found guilty, when they were sentenced to pay a fine of 50l. each, but were subsequently ordered to enter into recognisances to appear to-day to receive judgment, it being understood at the time that the sentence pronounced would not be altered.","It will be remembered that the defendants were tried before Mr. Withamn for assaulting John O'Brien, and found guilty, when they were sentenced to pay a fine of 500l. each, but were subsequently ordered to enter into recognisances to appear to-day to receive judgment, it being understood at the time that the sentence pronounced would not be Altered.",0.008595988538681949,0.05172413793103448
"The contract set forth that Ricordi was to have the full right of property for sale, &c., in the saii opera.","The contract set forth that Ricordi was to have the full right of property for sale, &c., in the said opera.","The contract set forth that Ricordi was to have the full right of property for sale, &c., in the opera.",0.046296296296296294,0.047619047619047616
"She would be able to' make her statemes~t.bn her trial, and it' would be for the jury to say whether they believed her.","She would be able to make her statement on her trial, and it would be for the jury to say whether they believed her.","She would be able to make her arguments during her trial, and it would be for the jury to say whether they believed her.",0.09482758620689655,0.08333333333333333
"Mr. Mathews, on behalf of the prisoner, admitted that his client was not free from blame, in the lax- he might say the scandalous-manner in which the bodies of paupers bad been treated, but contended that no sale of the bodies for profit had been made out, and that Hogg, the undertaker, who had access to the dead-house, ought to be placed at the bar rather than his client.","Mr. Mathews, on behalf of the prisoner, admitted that his client was not free from blame, in the lax-he might say the scandalous-manner in which the bodies of paupers had been treated, but contended that no sale of the bodies for profit had been made out, and that Hogg, the undertaker, who had access to the dead-house, ought to be placed at the bar rather than his client.","Mr. Mathews, on behalf of the prisoner, admitted that his client was not free from blame, in the lax manner of the scandalous manner in which the bodies of paupers had been treated, but contended that no sale of the bodies for profit had been made out, and that Hogg, the undertaker, who had access to the dead-house, ought to be placed at the bar rather than his client.",0.03208556149732621,0.07352941176470588
"On the night of the attacli two friends cconmpanied 'him home, but left him a- the door.","On the night of the attack two friends accompanied him home, but left him at the door.","On the night of the attestation two friends accompanied him home, but left him at the door.",0.08139534883720931,0.058823529411764705
"The other man fell In such a ppsition as to have the wheels of the 'bus'pass over his back and right arm, the latter being ifrctured in two places.","The other man fell in such a position as to have the wheels of the bus pass over his back and right arm, the latter being fractured in two places.","The other man fell in such a position as to have the wheels of the bus pass over his back and right arm, the latter being fractured in two places.",0.0,0.0
"Witness then left the house, and at half-past two returned again ovi h Captain Jenkins, who determined to put the case into the hands of tie cousetable, and himself and econstable went up stairs, unlocked the box, took out the child, atd to the surprise of all pre ent found it to be alive.","Witness then left the house, and at half-past two returned again with Captain Jenkins, who determined to put the case into the hands of the constable, and himself and constable went upstairs, unlocked the box, took out the child, and to the surprise of all present found it to be alive.","Witness then left the house, and at half-past two returned again to Captain Jenkins, who determined to put the case into the hands of the constable, and himself and constable went up stairs, unlocked the box, took out the child, and to the surprise of all witnesses found it to be alive.",0.038461538461538464,0.0784313725490196
"-At the Loeds Assizes, Emily Harriet Wilson, eighteen, domestic servant, was charged with the murder of her newly-born child at' Wentworth, near Barneley, by suffocating it.","-At the Leeds Assizes, Emily Harriet Wilson, eighteen, domestic servant, was charged with the murder of her newly-born child at Wentworth, near Barnsley, by suffocating it.","-At the Leeds Assizes, Emily Harriet Wilson, eighteen, domestic servant, was charged with the murder of her newly-born child at Wentworth, near Barneley, by suffocating it.",0.005813953488372093,0.038461538461538464
"The system pursued by the prisoner was that of following children, and so ascertaining their Christian names, by which she immediately addressed them, at the same time making the most anxious inquiries after the health of their parents.","The system pursued by the prisoner was that of following children, and so ascertaining their Christian names, by which she immediately addressed them, at the same time making the most anxious inquiries after the health of their parents.","The system pursued by the prisoner was that of following children, and so ascertaining their Christian names, by which she immediately addressed them, at the same time making the most anxious inquiries after the health of their parents.",0.0,0.0
"Mr. Lonis Nutting, of Lincoln'siiun-fields, solicitor to Mr. Godfrey Baker, said the defendant Bolton called at his office on July 17th and had an interview with him.","Mr. Louis Nutting, of Lincoln's-inn-fields, solicitor to Mr. Godfrey Baker, said the defendant Bolton called at his office on July 17th and had an interview with him.","Mr. Lonis Nutting, of Lincoln's-field, solicitor to Mr. Godfrey Baker, said the defendant Bolton called at his office on July 17th and had an interview with him.",0.03614457831325301,0.07407407407407407
"John Barry O'Cal- laghan-, forty-five, an engineer and surveyor, of 39, Parolles-road,Eigbgate, and Sarah Ann Bolton, forty- four, described as a "" chaperone,"" of 55, Bernard- street, Ilussell-square, were charged with being con- cerned together in unlawfully taking away a child, aged eight months, named Phyllis Massey Baker, from the custody of its parent, Mr. Godfrey Baher.","John Barry O'Callaghan, forty-five, an engineer and surveyor, of 39, Parolles-road, Highgate, and Sarah Ann Bolton, forty-four, described as a ""chaperone,"" of 55, Bernard-street, Russell-square, were charged with being concerned together in unlawfully taking away a child, aged eight months, named Phyllis Massey Baker, from the custody of its parent, Mr. Godfrey Baker.","John Barry O'Callaghan- forty-five, an engineer and surveyor, of 39, Parolles-road, Eigbgate, and Sarah Ann Bolton, forty-four, described as a ""chaperone,"" of 55, Bernard-street, Ilussell-square, were charged with being committed together in unlawfully taking away a child, aged eight months, named Phyllis Massey Baker, from the custody of its parent, Mr. Godfrey Baher.",0.02972972972972973,0.09433962264150944
ATTFEMPTINO To DEFRAUD NOLE1MEN.,ATTEMPTING TO DEFRAUD NOBLEMEN.,ATTRACTION TO DEFRAUD NOLEGED MEN.,0.3225806451612903,0.75
BANEinstTT.,BANKRUPTS.,BROOKLYN.,0.8,1.0
She packed the luggage and scont 't to Waiterloo Station the saime day.,She packed the luggage and sent it to Waterloo Station the same day.,She packed the luggage and went to Waiterloo Station the next day.,0.1323529411764706,0.3076923076923077
"-The Coroner admitted thatthere was a mystery in the ease, but thought the best course for the jury to pursue was to return an open verdict, so that the police might follow the case up.","-The Coroner admitted that there was a mystery in the case, but thought the best course for the jury to pursue was to return an open, verdict, so that the police might follow the case up.","-The Coroner admitted that there was a mystery in the case, but thought the best course for the jury to pursue was to return an open verdict, so that the police might follow the case up.",0.0053475935828877,0.027777777777777776
After I had entered the charge seathe charge-sheet the prisoner cemnisuced making a statement.,After I had entered the charge on the charge-shoot the prisoner commenced making a statement.,After I had entered the charge-sheet the prisoner commenced making a statement.,0.17204301075268819,0.26666666666666666
THE YURDER AT Blourmox,THE MURDER AT BROMPTON.,THE YURDER AT Blourmox,0.391304347826087,0.5
"Mr. Hopkins described the prisoner as a despicable being in the shape of a man, and sentenced him to six months' hard labour.","Mr. Hopkins described the prisoner as a despicable being in the shape of a man, and sentenced him to six months' hard labour.","Mr. Hopkins described the prisoner as a despicable being in the shape of a man, and sentenced him to six months' hard labour.",0.0,0.0
",Stirling Journael.",-Stirling Journal.,Stirling Journael.,0.1111111111111111,1.0
There were also eleven drafts of letters bearing the : names of 157 peers and baronets.,There were also eleven drafts of letters bearing the names of 157 peers and baronets.,There were also eleven drafts of letters bearing the names of 157 peers and baronets.,0.0,0.0
"| C .03 "". ! ':'' a"":r'ClflCnt wasLF reavd ever t-) Ms. , -i f.wr, 1hu si",Cross-examined: The agreement was read over to Mrs. Neal -fore she signed it.,"C. C. -C. -She was never married, and never had children.",0.7402597402597403,1.0
"He rose and took Hegarty into custody, but that prisoner was resoned by a number of roughs.","He rose and took Hegarty into custody, but that prisoner was rescued by a number of roughs.","He rose and took Hegarty into custody, but that prisoner was resoned by a number of roughs.",0.02197802197802198,0.058823529411764705
"Mrs. Cules identificd the property, and said that the house had been entered by the kitchen window.","Mrs. Coles identified the property, and said that the house had been entered by the kitchen window.","Mrs. Cules identified the property, and said that the house had been entered by the kitchen window.",0.010101010101010102,0.058823529411764705
GLANDERED HORSE.S.,GLANDERED HORSES.,GLANDERED HORSE.S.,0.058823529411764705,0.5
HoRRsIBLE CASE.,HORRIBLE CASE.,PERSIBLE CASE.,0.21428571428571427,0.5
CLEVER CAPTURE OF,CLEVER CAPTURE OF BURGLARS.,CLEVER CAPTURE OF,0.37037037037037035,0.25
Witness: I have not visited you.,Witness: I have not visited you.,Witness: I have not visited you.,0.0,0.0
"Mr. Algetron Coote, secretary to the Orphan S hool, proved that he visited the deceased, and the latter told him that his injuries were the result of an accident;","Mr. Algernon Coote, secretary to the Orphan School, proved that he visited the deceased, and the latter told him that his injuries were the result of an accident.","Mr. Algetron Coote, secretary to the Orphan School, proved that he visited the deceased, and the latter told him that his injuries were the result of an accident.",0.012345679012345678,0.03571428571428571
Hie was further renma30de,He was further remanded.,He was further renounced.,0.16666666666666666,0.25
".goomenfew areditors have not been able;.to attend in. time, but their cbeques are ready and eca be received in November.","Some few creditors have not been able to attend in time, but their cheques are ready and can be received in November.","A few solicitors have not been able to attend in time, but their cheques are ready and will be received in November.",0.1111111111111111,0.13636363636363635
"Her lips quivered s to with suppressed emotion, and as she talked with her IL solicitor she pressed her hands tightly together, and was -w heard tosay, inawhisper ""Oh!God, relievemnefrom tlsi ri a, agony.""","Her lips quivered with suppressed emotion, and as she talked with her solicitor she pressed her hands tightly together, and was heard to say, in a whisper ""Oh! God, relieve me from this agony.""","Her lips quivered with suppressed emotion, and as she talked with her solicitor she pressed her hands tightly together, and was heard to say, in a whisper ""Oh!God, relieve me from this agony.""",0.0051813471502590676,0.058823529411764705
We freely confess that the question isburrc~nded by difficulties; but it is not theflesl ~I~t on this account.,We freely confess that the question is surrounded by difficulties; but it is not the less important on this account.,We freely confess that the question is caused by difficulties; but it is not the case on this account.,0.1724137931034483,0.15
"Mir. H. Sugar, chemist, High-street, Notting-hill, said the deceased pur- chased the laudunum from him, stating that she wanted it to cure her son's toothache.","Mr. H. Sugar, chemist, High-street, Notting-hill, said the deceased purchased the laudanum from him, stating that she wanted it to cure her son's toothache.","Mr. H. Sugar, chemist, High-street, Notting-hill, said the deceased had chased the laudum from him, stating that she wanted it to cure her son's toothache.",0.038461538461538464,0.125
"Ile died a short time after being admitted, and the medical officer gave it as his opinion that deceased died from effusion of the brain, consequent upon delirium tremens.","He died a short time after being admitted, and the medical officer gave it as his opinion that deceased died from effusion of the brain, consequent upon delirium tremens.","He died a short time after being admitted, and the medical officer gave it as his opinion that deceased died from effusion of the brain, consequent upon delirium tremens.",0.0,0.0
He Was ra thus in a position to woris a combination matrimonal S and detective- agency by himself alone.,He was thus in a position to work a combination matrimonial and detective agency by himself alone.,He was thus in a position to form a combination matrimonal and detective agency by himself alone.,0.030612244897959183,0.11764705882352941
"Mr. Woolrych observed that cc very desperate at tempt had been made to rob the prosecutor, and . the evidence was so direct he should commit the uni sener for trial.","Mr. Woolrych observed that a very desperate attempt had been made to rob the prosecutor, and a the evidence was so direct he should commit the prisoner for trial.","Mr. Woolrych observed that a very desperate attempt had been made to rob the prosecutor, and the evidence was so direct he should commit the prisoner for trial.",0.012345679012345678,0.034482758620689655
"He proposed that they should kill theiwbole of the crow, and then run the vessel to some port and sell her.","He proposed that they should kill the whole of the crow, and then run the vessel to some port and sell her.","He proposed that they should kill thebole of the crow, and then run the vessel to some port and sell her.",0.028037383177570093,0.09090909090909091
Owing to its smallness it was more like entering a stove than anything else.,Owing to its smallness it was more like entering a stove than anything else.,Owing to its smallness it was more like entering a stove than anything else.,0.0,0.0
"The total amount is about 2'5 000, which will go but a very short way towards replacing the losses many have sustained.","The total amount is about £5 000, which will go but a very short way towards replacing the losses many have sustained.","The total amount is about 2'5 000, which will go but a very short way towards replacing the losses many have sustained.",0.01694915254237288,0.045454545454545456
"Julstice Li elldey: Did you not rur thedantages up youlrslef by lrin;noge all this ounr aboat the hair, the nate, and the driir.","Justice Lindley: Did you not run the damages up yourself by bringing all this out about the hair, the cab, and the drink.","Julstice Li elldey: Did you not make the damages up yourself by putting all this on the hair, the nails, and the driir.",0.23140495867768596,0.391304347826087
"He had received a wound along the left eyebrow, and reachiog some dis tance along the nose.","He had received a wound along the left eyebrow, and reaching some distance along the nose.","He had received a wound along the left eyebrow, and some damage along the nose.",0.15555555555555556,0.125
He went to the hospital that morning and received the certificate prodaced.,He went to the hospital that morning and received the certificate produced.,He went to the hospital that morning and received the certificate produced.,0.0,0.0
"The Judge, in summing . up, said 'these charges were easily made and of ten difficalt to repel.","The Judge, in summing up, said these charges were easily made and often difficult to repel.","The Judge, in summing up, said these charges were easily made and of ten difficult to repel.",0.01098901098901099,0.125
"-F. A. Schanfelbirgn, of Fitz- roy-square, and a young man naofd Dagen- koib, were to have been cialed as witnesses, ,but refusing to take the oath were not heard.","-F. A. Schanfelbirgn, of Fitzroy-square, and a young man named Dagenkolb, were to have been called as witnesses, but refusing to take the oath were not heard.","-F. A. Schanfelbirgn, of Fitzroy-square, and a young man named Dagenham, were to have been called as witnesses, but refusing to take the oath were not heard.",0.02531645569620253,0.037037037037037035
"It is the duty of the Reigate station-clerk to see at appointed times that the upline is clear and the signals all right for the up-train to pass, and this duty, it is asserted, was punctually performed on the present occasion by the officer in question, so that no blame on account of the accident is attributed to him.","It is the duty of the Reigate station-clerk to see at appointed times that the up line is clear and the signals all right for the up-train to pass, and this duty, it is asserted, was punctually performed on the present occasion by the officer in question, so that no blame on account of the accident is attributed to him.","It is the duty of the Reigate station-clerk to see at appointed times that the upline is clear and the signals all right for the up-train to pass, and this duty, it is asserted, was punctually performed on the present occasion by the officer in question, so that no blame on account of the accident is attributed to him.",0.003115264797507788,0.03333333333333333
"'The letter eauaed !Lopper and te geirl' great, distress.",The letter caused Hopper and the girl great distress.,The letter was addressed to Lopper and caused great distress.,0.39622641509433965,0.6666666666666666
By Mr. Remain: Unless I had t been set to watch possibly I might not have been a suspicious of her.,By Mr. Romain: Unless I had been set to watch possibly I might not have been suspicious of her.,By Mr. Remain: Unless I had been set to watch possibly I might not have been suspicious of her.,0.010526315789473684,0.05263157894736842
"Tue deceased was about 28 yeats of age, and the body waS tiouch decomiposed,","The deceased was about 28 years of age, and the body was much decomposed.","The deceased was about 28 yeats of age, and the body was subsequently decomposition.",0.2328767123287671,0.21428571428571427
"After a few weeks' association the major induced the complainant to meet him in London, took her to a house of ill fame, and there seduced her.","After a few weeks' association the major induced the complainant to meet him in London, took her to a house of ill fame, and there seduced her.","After a few weeks' association the major induced the complainant to meet him in London, took her to a house of ill fame, and there seduced her.",0.0,0.0
". The prisoner then ean T l at from the living room, passed yait-,ees in-the paioaga, t, on and left the btuilding.","The prisoner then came from the living room, passed witness in the passage, and left the building.","The prisoner then escaped from the living room, passed the prisoners in the paioaga, on and left the building.",0.19387755102040816,0.29411764705882354
He would then ascertain that Bilaire was in a government situation there.,He would then ascertain that Hilaire was in a government situation there.,He would then ascertain that Bilaire was in a government situation there.,0.0136986301369863,0.08333333333333333
In the previous month he spoke to Mr. Chevalier about the matter and the latter said he would attend to it.,In the previous month he spoke to Mr. Chevalier about the matter and the latter said he would attend to it.,In the previous month he spoke to Mr. Chevalier about the matter and the latter said he would attend to it.,0.0,0.0
"On Tuesday he was passing through High-street, AIdgate, when he met a procession of men on strike.","On Tuesday he was passing through High-street, Aldgate, when he met a procession of men on strike.","On Tuesday he was passing through High-street, Aldgate, when he met a procession of men on strike.",0.0,0.0
"The prisoner, who now expressed regret for his conduct, was ordered to pay a fine of 40s., or in default one month's hard labour.","The prisoner, who now expressed regret for his conduct, was ordered to pay a fine of 40s., or in default one month's hard labour.","The prisoner, who now expressed regret for his conduct, was ordered to pay a fine of 40s., or in default one month's hard labour.",0.0,0.0
"A lodger in the house told me the prisoner was in the habit of coming home intoxicated with the child at all hours of the night, that this was the only child she had, and that her husband is a sailor, whose pay she was receiving.","A lodger in the house told me the prisoner was in the habit of coming home intoxicated with the child at all hours of the night, that this was the only child she had, and that her husband is a sailor, whose pay she was receiving.","A lodger in the house told me the prisoner was in the habit of coming home intoxicated with the child at all hours of the night, that this was the only child she had, and that her husband is a sailor, whose pay she was receiving.",0.0,0.0
"-OnQ Satur- day, atRedhill, before the mayor, a wretehed-looking man, named Henry Burchell, of White Bushes Cot- tages, Earlswood, was charged with shooting at his wife with intent to do her grievous bodily harm.","-On Saturday, at Redhill, before the mayor, a wretched-looking man, named Henry Burchell, of White Bushes Cottages, Earlswood, was charged with shooting at his wife with intent to do her grievous bodily harm.","-On Saturday, at Redhill, before the mayor, a wrethed-looking man, named Henry Burchell, of White Bushes Cotages, Earlswood, was charged with shooting at his wife with intent to do her grievous bodily harm.",0.009615384615384616,0.06060606060606061
Mr. Curtis Bennett: I suppose that means William. (Laughter.),Mr. Curtis Bennett: I suppose that means William. (Laughter.),Mr. Curtis Bennett: I suppose that means William. (Laughter.),0.0,0.0
"The acc sed said:-"" My son gave,1no, the things to pledge, as I was better kon, ettcould got mnore nemolicy","The accused said: - ""My son gave me the things to pledge, as I was better known, and could get more money.","-My son gave, no, the things to pledge, as I was better than him, and could got more money.",0.3018867924528302,0.45454545454545453
